year,tempo
1969,96.493
1969,121.447
1969,131.1
1969,139.785
1969,122.786
1969,98.919
1969,182.284
1969,80.027
1969,109.155
1969,129.686
1969,111.446
1969,67.586
1969,88.357
1969,96.994
1969,116.053
1969,136.409
1969,112.874
1969,80.093
1969,94.49
1969,109.878
1969,133.49
1969,100.965
1969,87.136
1969,94.636
1969,131.61
1969,129.243
1969,144.493
1969,121.863
1969,99.763
1969,129.995
1969,119.357
1969,109.478
1969,98.852
1969,132.958
1969,109.326
1969,103.199
1969,148.023
1969,97.123
1969,74.62
1969,173.803
1969,125.714
1969,86.956
1969,160.621
1969,100.446
1969,120.463
1969,157.921
1969,121.045
1969,90.791
1969,152.545
1969,118.99
1969,111.057
1969,87.428
1969,119.716
1969,132.996
1970,105.911
1970,91.289
1970,133.103
1970,161.313
1970,121.361
1970,85.397
1970,86.926
1970,117.129
1970,160.794
1970,91.153
1970,82.937
1970,128.452
1970,108.291
1970,96.723
1970,84.846
1970,110.231
1970,115.671
1970,175.837
1970,146.253
1970,96.348
1970,148.289
1970,100.608
1970,96.605
1970,118.712
1970,99.758
1970,74.813
1970,124.954
1970,79.878
1970,101.041
1970,142.568
1970,132.53
1970,117.167
1970,122.04
1970,118.651
1970,90.553
1970,99.314
1970,117.006
1970,122.238
1970,183.912
1970,110.756
1970,174.087
1970,114.648
1970,105.437
1970,95.639
1970,134.429
1970,136.12
1970,150.54
1970,179.269
1970,140.87
1970,78.962
1970,93.428
1970,108.168
1970,166.575
1970,83.372
1970,85.883
1970,79.007
1970,156.002
1970,117.799
1970,98.356
1970,130.04
1970,183.87
1970,128.009
1970,141.503
1970,112.375
1970,97.598
1970,83.926
1970,112.575
1970,112.021
1970,86.204
1970,128.748
1970,162.973
1970,118.826
1970,167.058
1970,89.215
1970,78.611
1970,114.239
1970,119.241
1970,150.44
1970,164.929
1970,131.133
1970,177.075
1970,143.919
1970,108.396
1970,132.402
1970,97.127
1970,112.12
1970,164.788
1970,141.361
1970,95.719
1970,175.89
1970,99.646
1970,90.246
1970,120.099
1970,130.584
1970,168.702
1970,147.303
1970,111.295
1970,80.75
1970,117.779
1970,84.49
1971,90.61
1971,138.075
1971,127.196
1971,81.281
1971,174.791
1971,148.295
1971,197.798
1971,118.682
1971,168.334
1971,117.318
1971,128.972
1971,79.522
1971,93.53
1971,157.385
1971,122.765
1971,175.696
1971,123.64
1971,80.704
1971,101.983
1971,101.099
1971,147.037
1971,168.173
1971,140.399
1971,70.995
1971,72.452
1971,113.24
1971,131.815
1971,141.333
1971,95.193
1971,91.96
1971,129.234
1971,120.182
1971,71.533
1971,87.078
1971,83.545
1971,106.626
1971,132.065
1971,111.898
1971,94.786
1971,111.934
1971,109.253
1971,152.421
1971,133.795
1971,122.237
1971,120.117
1971,93.47
1971,81.117
1971,95.245
1971,128.611
1971,120.994
1971,115.471
1971,117.267
1971,152.217
1971,103.892
1971,105.005
1971,69.699
1971,83.946
1971,83.998
1971,119.927
1971,96.377
1971,131.494
1971,82.372
1971,113.983
1971,81.384
1971,96.946
1971,137.29
1971,112.267
1971,137.559
1971,111.423
1971,127.562
1971,136.58
1971,96.361
1971,116.749
1971,105.455
1971,115.822
1971,129.155
1971,97.572
1971,88.307
1971,126.727
1971,140.83
1971,136.406
1971,131.189
1971,75.023
1971,186.476
1971,174.068
1971,106.87
1971,104.364
1971,135.838
1971,73.94
1971,94.076
1971,81.191
1971,162.706
1971,133.033
1971,91.496
1971,112.356
1971,75.212
1971,136.384
1971,90.988
1971,145.217
1971,152.413
1972,118.668
1972,126.392
1972,104.035
1972,172.02
1972,78.554
1972,78.813
1972,105.974
1972,156.279
1972,124.404
1972,99.041
1972,104.681
